gamma,grid_type,J_epsilon_mean,J_epsilon_std,J_epsilon_seed0,J_x0_seed0,J_epsilon_seed1,J_x0_seed1,J_epsilon_seed2,J_x0_seed2,J_x0_mean,J_x0_std,J_over_gamma
1.000000e+00,global,9.026037e-01,5.673576e-03,9.080636e-01,9.080636e-01,8.947820e-01,8.947820e-01,9.049656e-01,9.049656e-01,9.026037e-01,5.673576e-03,9.026037e-01
3.000000e-01,global,6.326871e-01,3.678208e-03,6.357999e-01,2.119333e+00,6.275214e-01,2.091738e+00,6.347399e-01,2.115800e+00,2.108957e+00,1.226069e-02,2.108957e+00
1.000000e-01,global,2.885572e-01,1.580470e-03,2.900067e-01,2.900067e+00,2.863590e-01,2.863590e+00,2.893059e-01,2.893059e+00,2.885572e+00,1.580470e-02,2.885572e+00
3.000000e-02,global,9.577762e-02,4.142038e-04,9.626801e-02,3.208934e+00,9.525496e-02,3.175165e+00,9.580990e-02,3.193663e+00,3.192587e+00,1.380679e-02,3.192587e+00
1.000000e-02,global,3.117449e-02,1.228140e-04,3.133100e-02,3.133100e+00,3.103102e-02,3.103102e+00,3.116146e-02,3.116146e+00,3.117449e+00,1.228140e-02,3.117449e+00
3.000000e-03,global,8.533920e-03,2.650628e-05,8.567712e-03,2.855904e+00,8.502973e-03,2.834324e+00,8.531074e-03,2.843691e+00,2.844640e+00,8.835426e-03,2.844640e+00
1.000000e-03,global,2.650821e-03,5.783044e-06,2.658095e-03,2.658095e+00,2.643946e-03,2.643946e+00,2.650422e-03,2.650422e+00,2.650821e+00,5.783044e-03,2.650821e+00
3.000000e-04,asymptotic,7.651099e-04,6.041475e-07,7.656159e-04,2.552053e+00,7.642607e-04,2.547536e+00,7.654531e-04,2.551510e+00,2.550366e+00,2.013825e-03,2.550366e+00
1.000000e-04,asymptotic,2.517373e-04,1.198783e-07,2.518407e-04,2.518407e+00,2.515693e-04,2.515693e+00,2.518021e-04,2.518021e+00,2.517373e+00,1.198783e-03,2.517373e+00
3.000000e-05,asymptotic,7.515755e-05,2.004967e-08,7.517513e-05,2.505838e+00,7.512950e-05,2.504317e+00,7.516803e-05,2.505601e+00,2.505252e+00,6.683222e-04,2.505252e+00
1.000000e-05,asymptotic,2.501741e-05,3.890833e-09,2.502085e-05,2.502085e+00,2.501197e-05,2.501197e+00,2.501940e-05,2.501940e+00,2.501741e+00,3.890833e-04,2.501741e+00
3.000000e-06,asymptotic,7.501539e-06,6.424126e-10,7.502110e-06,2.500703e+00,7.500641e-06,2.500214e+00,7.501865e-06,2.500622e+00,2.500513e+00,2.141375e-04,2.500513e+00
1.000000e-06,asymptotic,2.500166e-06,1.239232e-10,2.500276e-06,2.500276e+00,2.499993e-06,2.499993e+00,2.500228e-06,2.500228e+00,2.500166e+00,1.239232e-04,2.500166e+00
